=== Portion Estimation Evaluation ===
Minneola: MAE = 0.28g, RMSE = 0.39g
Mint Chocolate Chip Ice Cream: MAE = 0.41g, RMSE = 0.54g
Mostaccioli: MAE = 0.51g, RMSE = 0.72g
Mozzarella Pizza: MAE = 0.38g, RMSE = 0.54g
Mulberries: MAE = 0.39g, RMSE = 0.56g
Mushroom Pizza: MAE = 0.31g, RMSE = 0.38g
Mushroom Soup: MAE = 0.35g, RMSE = 0.45g
Mushrooms: MAE = 1.35g, RMSE = 3.00g
Muskmelon: MAE = 0.35g, RMSE = 0.50g
Mustard Greens: MAE = 0.34g, RMSE = 0.46g
Naan: MAE = 0.37g, RMSE = 0.45g
Nachos with Cheese: MAE = 0.39g, RMSE = 0.54g
Napoli Pizza: MAE = 0.42g, RMSE = 0.53g
Nectarine: MAE = 0.28g, RMSE = 0.39g
New York Style Pizza: MAE = 0.51g, RMSE = 0.66g
Noni: MAE = 0.41g, RMSE = 0.69g
Noodle Soup: MAE = 0.35g, RMSE = 0.48g
Nori: MAE = 0.39g, RMSE = 0.59g
Oat Bran: MAE = 0.33g, RMSE = 0.45g
Okra: MAE = 0.30g, RMSE = 0.40g
Olives: MAE = 0.43g, RMSE = 0.59g
Onion: MAE = 7.18g, RMSE = 19.61g
Onion Rings: MAE = 0.39g, RMSE = 0.56g
Onion Soup: MAE = 0.45g, RMSE = 0.67g
Orange: MAE = 8.88g, RMSE = 24.87g
Orange Chicken: MAE = 0.41g, RMSE = 0.60g
Orecchiette: MAE = 0.48g, RMSE = 0.67g
Orzo: MAE = 0.33g, RMSE = 0.44g
Oxtail Soup: MAE = 0.49g, RMSE = 0.67g
Pad Thai: MAE = 0.25g, RMSE = 0.38g
Paella: MAE = 0.33g, RMSE = 0.43g
Papaya: MAE = 0.35g, RMSE = 0.47g
Paratha: MAE = 0.57g, RMSE = 0.74g
Parsnips: MAE = 0.42g, RMSE = 0.55g
Passion Fruit: MAE = 0.29g, RMSE = 0.40g
Pea Soup: MAE = 0.48g, RMSE = 0.71g
Peach: MAE = 0.27g, RMSE = 0.38g
Peanut Butter Sandwich: MAE = 0.33g, RMSE = 0.49g
Pear: MAE = 7.81g, RMSE = 17.09g
Pearl Barley: MAE = 0.38g, RMSE = 0.56g
Peas: MAE = 0.42g, RMSE = 0.57g
Peking Duck: MAE = 0.21g, RMSE = 0.31g
Penne: MAE = 0.31g, RMSE = 0.40g
Penne Rigate: MAE = 0.35g, RMSE = 0.50g
Pepper: MAE = 0.53g, RMSE = 0.74g
Pepperoni Pizza: MAE = 0.36g, RMSE = 0.50g
Persimmon: MAE = 0.26g, RMSE = 0.38g
Philly Cheese Steak: MAE = 0.35g, RMSE = 0.47g
Physalis: MAE = 0.32g, RMSE = 0.49g
Pierogi: MAE = 0.46g, RMSE = 0.65g
Pineapple: MAE = 7.19g, RMSE = 14.97g
Pink Grapefruit: MAE = 0.46g, RMSE = 0.67g
Pizza: MAE = 0.44g, RMSE = 0.63g
Pizza Dough: MAE = 0.30g, RMSE = 0.41g
Pizza Hut Stuffed Crust Pizza: MAE = 0.34g, RMSE = 0.52g
Pizza Hut Supreme Pizza: MAE = 0.30g, RMSE = 0.41g
Pizza Rolls: MAE = 0.41g, RMSE = 0.57g
Plantain: MAE = 0.32g, RMSE = 0.49g
Plantains: MAE = 0.37g, RMSE = 0.56g
Plum: MAE = 0.45g, RMSE = 0.64g
Polenta: MAE = 0.54g, RMSE = 0.71g
Pomegranate: MAE = 0.37g, RMSE = 0.53g
Pomelo: MAE = 0.45g, RMSE = 0.61g
Pork Chop: MAE = 0.42g, RMSE = 0.56g
Potato: MAE = 7.90g, RMSE = 20.59g
Potato Salad: MAE = 0.39g, RMSE = 0.55g
Potato Soup: MAE = 0.24g, RMSE = 0.36g
Poutine: MAE = 0.30g, RMSE = 0.39g
Prawn Crackers: MAE = 0.31g, RMSE = 0.44g
Pretzel Sticks: MAE = 0.38g, RMSE = 0.49g
Prickly Pear: MAE = 0.39g, RMSE = 0.54g
Pulled Pork Sandwich: MAE = 0.31g, RMSE = 0.40g
Pumpkin: MAE = 0.43g, RMSE = 0.59g
Pumpkin Soup: MAE = 0.31g, RMSE = 0.44g
Quattro Formaggi Pizza: MAE = 0.42g, RMSE = 0.60g
Quince: MAE = 0.33g, RMSE = 0.44g
Quinoa: MAE = 0.30g, RMSE = 0.44g
Radishes: MAE = 0.37g, RMSE = 0.53g
Raisins: MAE = 1.99g, RMSE = 4.42g
Rambutan: MAE = 0.45g, RMSE = 0.63g
Ramen: MAE = 0.35g, RMSE = 0.52g
Raspberries: MAE = 0.50g, RMSE = 0.70g
Ravioli: MAE = 0.28g, RMSE = 0.38g
Red Cabbage: MAE = 0.55g, RMSE = 0.79g
Red Pepper Pizza: MAE = 0.34g, RMSE = 0.51g
Reuben Sandwich: MAE = 0.36g, RMSE = 0.51g
Rhubarb: MAE = 0.46g, RMSE = 0.61g
Rigatoni: MAE = 0.39g, RMSE = 0.52g
Roast Beef: MAE = 0.38g, RMSE = 0.57g
Roast Dinner: MAE = 0.35g, RMSE = 0.48g
Rocky Road Ice Cream: MAE = 0.29g, RMSE = 0.39g
Rotini: MAE = 0.40g, RMSE = 0.59g
Rusk: MAE = 0.34g, RMSE = 0.50g
Rutabaga: MAE = 0.42g, RMSE = 0.63g
Rye Bran: MAE = 0.38g, RMSE = 0.52g
Sago: MAE = 0.42g, RMSE = 0.61g
Salami Pizza: MAE = 0.27g, RMSE = 0.42g
Samosa: MAE = 0.44g, RMSE = 0.56g
Sapodilla: MAE = 0.50g, RMSE = 0.63g
Sausage Pizza: MAE = 0.41g, RMSE = 0.61g
Sausage Roll: MAE = 0.27g, RMSE = 0.35g
Sausage Rolls: MAE = 0.43g, RMSE = 0.65g
Savoury Biscuits: MAE = 0.53g, RMSE = 0.71g
Scotch Broth: MAE = 0.36g, RMSE = 0.50g
Seafood Pizza: MAE = 0.48g, RMSE = 0.65g
Shallots: MAE = 0.48g, RMSE = 0.64g
Shells: MAE = 0.33g, RMSE = 0.43g
Shepherds Pie: MAE = 0.28g, RMSE = 0.40g
Shirataki Noodles: MAE = 0.43g, RMSE = 0.69g
Shortbread: MAE = 0.68g, RMSE = 0.86g
Shrimp Cocktail: MAE = 0.37g, RMSE = 0.54g
Shrimp Pizza: MAE = 0.62g, RMSE = 0.80g
Sicilian Pizza: MAE = 0.39g, RMSE = 0.51g
Sloppy Joe: MAE = 0.22g, RMSE = 0.32g
Sloppy Joes: MAE = 0.39g, RMSE = 0.52g
Smarties McFlurry: MAE = 0.39g, RMSE = 0.52g
Smoked Salmon: MAE = 0.30g, RMSE = 0.40g
Snickers Ice Cream: MAE = 0.39g, RMSE = 0.56g
Soft Serve: MAE = 0.31g, RMSE = 0.40g
Solero: MAE = 0.29g, RMSE = 0.42g
Soursop Fruit: MAE = 0.35g, RMSE = 0.52g
Soy Noodles: MAE = 0.32g, RMSE = 0.43g
Spaetzle: MAE = 0.32g, RMSE = 0.43g
Spaghetti: MAE = 0.49g, RMSE = 0.61g
Spaghetti Bolognese: MAE = 0.27g, RMSE = 0.38g
Spelt: MAE = 0.21g, RMSE = 0.33g
Spelt Bran: MAE = 0.52g, RMSE = 0.70g
Spelt Semolina: MAE = 0.41g, RMSE = 0.57g
Spicy Italian: MAE = 0.39g, RMSE = 0.55g
Spinach: MAE = 0.43g, RMSE = 0.65g
Spinach Feta Pizza: MAE = 0.34g, RMSE = 0.49g
Spinach Pizza: MAE = 0.34g, RMSE = 0.46g
Spinach Tortellini: MAE = 0.52g, RMSE = 0.72g
Spirelli: MAE = 0.31g, RMSE = 0.42g
Spring Roll: MAE = 0.32g, RMSE = 0.45g
Spring Rolls: MAE = 0.36g, RMSE = 0.45g
Squash: MAE = 0.21g, RMSE = 0.28g
Star Fruit: MAE = 0.28g, RMSE = 0.38g
Starfruit: MAE = 0.30g, RMSE = 0.41g
Strawberries: MAE = 3.99g, RMSE = 6.24g
Strawberry Ice Cream: MAE = 0.54g, RMSE = 0.75g
Strawberry Sundae: MAE = 0.44g, RMSE = 0.62g
Stuffed Crust Pizza: MAE = 0.56g, RMSE = 0.72g
Subway Club Sandwich: MAE = 0.29g, RMSE = 0.36g
Succotash: MAE = 0.37g, RMSE = 0.49g
Sundae: MAE = 0.47g, RMSE = 0.60g
Sunflower Seeds: MAE = 0.42g, RMSE = 0.57g
Sweet Potato: MAE = 3.30g, RMSE = 6.57g
Taco: MAE = 0.30g, RMSE = 0.37g
Tagliatelle: MAE = 0.18g, RMSE = 0.26g
Tamarind: MAE = 0.28g, RMSE = 0.36g
Tandoori Chicken: MAE = 0.40g, RMSE = 0.57g
Tangerine: MAE = 0.49g, RMSE = 0.67g
Thai Soup: MAE = 0.32g, RMSE = 0.45g
Thin Crust Pizza: MAE = 0.28g, RMSE = 0.38g
Tomato: MAE = 0.52g, RMSE = 0.73g
Tomato Rice Soup: MAE = 0.39g, RMSE = 0.52g
Tomato Soup: MAE = 0.45g, RMSE = 0.59g
Tortellini: MAE = 0.26g, RMSE = 0.35g
Tortilla: MAE = 0.40g, RMSE = 0.51g
Tortilla Chips: MAE = 0.45g, RMSE = 0.60g
Tortilla Wrap: MAE = 0.38g, RMSE = 0.53g
Tuna: MAE = 0.26g, RMSE = 0.36g
Tuna Pizza: MAE = 0.45g, RMSE = 0.67g
Turkey: MAE = 0.31g, RMSE = 0.43g
Turkey Hill: MAE = 0.42g, RMSE = 0.60g
Turnip Greens: MAE = 0.53g, RMSE = 0.72g
Turnips: MAE = 0.52g, RMSE = 0.66g
Vanilla Cone: MAE = 0.33g, RMSE = 0.43g
Vanilla Ice Cream: MAE = 0.22g, RMSE = 0.29g
Vegetable Beef Soup: MAE = 0.45g, RMSE = 0.58g
Vegetable Broth: MAE = 0.48g, RMSE = 0.65g
Vegetable Pizza: MAE = 0.44g, RMSE = 0.58g
Vegetable Soup: MAE = 0.40g, RMSE = 0.51g
Vegetable Stock: MAE = 0.30g, RMSE = 0.39g
Vegetarian Pizza: MAE = 0.31g, RMSE = 0.46g
Veggie Burger: MAE = 0.66g, RMSE = 0.90g
Veggie Delight: MAE = 0.22g, RMSE = 0.32g
